LoanID,CustomerID,Amount,InterestRate,LoanDate,TermMonths
1,115795,14160.61,15.65,2024-10-10,12
2,100860,36431.4,11.6,2024-04-30,60
3,176820,8808.68,19.76,2020-11-12,60
4,154886,41157.59,10.85,2021-10-21,60
5,106265,30985.18,8.23,2023-04-08,12
6,182386,24645.86,15.03,2022-12-18,48
7,137194,18651.37,11.26,2022-07-21,60
8,187498,25867.19,6.96,2023-02-14,36
9,144131,27467.3,7.77,2020-06-04,6
10,160263,12612.26,17.68,2022-01-07,24
11,116023,49448.97,11.96,2021-03-29,36
12,141090,45567.84,5.1,2023-11-27,12
13,167221,20149.1,18.97,2022-10-06,12
14,164820,13447.06,8.4,2023-04-14,60
15,100769,16045.22,13.94,2020-03-17,6
16,159735,49028.22,18.39,2022-04-23,48
17,162955,20946.16,18.86,2024-11-05,36
18,164925,45684.57,17.53,2021-12-15,36
19,167969,3892.16,17.9,2020-10-06,12
20,105311,39063.02,14.14,2020-01-18,12
21,183104,38344.17,17.03,2024-08-12,24
22,153707,32898.34,13.76,2023-10-18,60
23,185305,6934.79,7.29,2022-01-29,36
24,128693,49088.56,16.2,2022-09-29,6
25,171932,11426.2,12.72,2022-08-22,48
26,193016,35775.89,13.59,2023-02-13,48
27,125658,37822.33,19.34,2023-04-17,48
28,184478,38236.03,5.99,2024-01-22,48
29,118431,41474.25,16.29,2021-08-14,12
30,102747,49467.08,19.62,2022-01-14,48
31,159150,5703.52,11.11,2024-12-25,60
32,165725,24137.27,6.25,2022-03-05,60
33,184654,48767.19,18.75,2024-09-14,24
34,135773,44222.18,12.34,2022-03-15,48
35,167435,49540.4,12.4,2024-09-17,24
36,156886,29539.29,5.34,2020-04-10,12
37,166803,33969.62,8.81,2020-03-09,12
38,131551,13926.36,17.28,2023-08-28,6
39,111394,23458.18,8.51,2021-01-09,24
40,169092,2026.49,9.78,2022-09-17,24
41,103890,36266.32,8.97,2021-02-02,60
42,141606,46367.99,8.86,2020-07-02,48
43,196276,6495.32,13.04,2021-05-09,12
44,180038,23264.52,16.42,2022-08-31,48
45,187313,31535.2,7.95,2020-06-18,48
46,110627,31976.73,14.72,2022-01-01,6
47,108792,16020.05,16.1,2020-10-10,48
48,173969,1969.45,12.41,2021-03-21,6
49,143001,44502.95,7.32,2022-08-19,6
50,176552,5497.08,11.58,2020-08-28,60
51,123897,9706.31,17.3,2024-10-15,36
52,168148,48176.58,9.25,2024-11-05,12
53,123483,25518.29,14.54,2023-05-01,12
54,148555,43827.81,7.78,2023-10-21,12
55,117159,44950.33,8.05,2022-08-14,12
56,180077,49482.72,14.86,2024-11-19,36
57,135920,2994.37,15.93,2021-11-14,60
58,192067,3597.01,18.22,2020-06-24,24
59,167121,10345.38,13.22,2020-09-25,60
60,169479,33163.52,10.97,2021-01-23,12
61,189475,13836.33,18.36,2023-02-03,6
62,119457,25285.62,6.67,2024-02-24,36
63,166557,39531.52,18.29,2021-07-21,12
64,177189,10103.8,6.65,2020-01-19,60
65,178953,15008.34,10.72,2023-02-17,12
66,152995,36648.76,17.29,2023-02-02,6
67,140757,1376.61,12.74,2024-11-20,36
68,109692,38111.64,13.01,2024-06-30,48
69,145758,34137.63,11.36,2020-04-10,24
70,172409,7349.72,7.06,2022-01-03,36
71,171211,12949.05,18.5,2022-10-06,36
72,165697,1754.81,12.27,2023-04-26,12
73,137065,29489.25,10.74,2021-06-01,60
74,192093,20457.57,16.01,2024-06-10,60
75,199299,21748.23,19.18,2024-05-16,6
76,132606,6056.06,13.67,2020-01-07,6
77,111534,18263.15,17.21,2024-11-26,6
78,194663,46030.91,10.89,2023-10-05,6
79,140397,4172.08,10.37,2023-06-14,48
80,191387,48772.95,5.82,2023-12-09,12
81,101016,42552.47,14.7,2023-06-12,6
82,189789,10946.5,10.03,2020-01-04,12
83,155591,35565.67,19.14,2022-07-11,48
84,189812,5456.38,19.46,2021-03-28,6
85,123247,8823.62,7.71,2023-08-02,6
86,124300,24910.1,18.26,2021-10-11,48
87,174065,20622.35,9.61,2020-11-26,24
88,182798,40936.41,16.59,2022-08-22,6
89,109268,47023.49,15.04,2021-12-27,12
90,186807,47197.95,16.46,2022-07-04,36
91,112185,8203.14,9.29,2023-01-31,12
92,163704,34625.18,18.91,2022-07-04,24
93,186779,28968.56,13.82,2023-09-03,24
94,139099,19141.29,7.01,2023-05-31,48
95,108571,49746.6,5.26,2022-02-19,60
96,138044,23346.21,12.36,2024-12-21,12
97,151214,33601.24,13.62,2024-08-10,6
98,161228,25639.24,13.79,2024-01-24,12
99,148984,6042.29,12.15,2022-01-10,24
100,140774,7913.91,14.17,2020-07-05,12
101,102568,37757.02,10.58,2022-08-04,24
102,162592,40282.51,15.52,2022-03-03,6
103,167563,18827.09,18.93,2023-04-17,60
104,102695,4281.0,16.63,2024-02-26,36
105,148190,47893.27,11.2,2021-11-17,60
106,105258,25356.55,11.62,2021-12-27,48
107,187538,7573.27,12.51,2024-04-09,24
108,139504,10724.53,5.04,2024-06-09,48
109,133159,3222.65,13.17,2023-09-11,48
110,113986,35782.94,15.46,2020-09-25,36
111,161858,35500.61,5.39,2021-02-01,24
112,112666,30522.72,7.57,2023-12-07,60
113,138660,27768.71,9.08,2023-05-10,6
114,103561,19693.05,17.78,2020-01-01,36
115,126854,47581.05,19.99,2020-12-30,12
116,164505,40225.54,17.88,2021-03-21,12
117,152251,45473.46,5.77,2024-08-04,24
118,122662,16271.31,19.8,2020-04-24,6
119,108392,48935.9,13.77,2023-11-10,24
120,130535,9102.16,7.85,2021-12-27,12
121,178603,3757.35,12.79,2024-10-31,6
122,152256,16672.18,16.2,2020-01-04,12
123,189135,10863.06,15.34,2023-10-29,24
124,135222,26358.65,12.45,2023-01-19,36
125,177373,18159.76,12.35,2024-02-12,12
126,179575,9415.56,17.45,2022-04-20,60
127,196354,42368.66,19.15,2021-09-10,60
128,184651,25890.56,14.42,2021-08-28,36
129,163335,6366.97,17.25,2020-12-26,6
130,110965,4691.32,14.11,2022-10-05,12
131,124538,19775.84,6.48,2023-08-12,24
132,170592,45491.16,16.18,2020-05-09,24
133,198018,25892.0,13.92,2022-08-01,12
134,108110,7817.63,13.44,2023-10-08,48
135,179309,13084.98,5.53,2024-10-30,60
136,127266,3424.51,15.08,2022-03-09,24
137,152992,41760.17,19.92,2020-09-12,6
138,182948,47356.56,11.89,2024-03-28,12
139,198806,4812.88,10.78,2021-10-27,6
140,106910,9476.07,15.56,2020-03-15,6
141,190982,9382.38,13.45,2024-10-10,48
142,100206,40381.6,8.88,2020-04-20,60
143,187054,42124.34,15.89,2024-06-23,48
144,187897,21544.41,18.3,2024-10-28,36
145,123419,48497.19,13.22,2020-07-30,36
146,150636,13714.36,16.87,2020-07-06,36
147,150015,26730.89,8.59,2023-07-05,12
148,154268,49818.14,9.59,2021-02-25,60
149,187939,41528.09,6.98,2021-01-08,24
150,118141,24872.05,9.01,2021-03-24,60
151,180356,6317.75,6.33,2022-04-23,12
152,171910,45313.25,10.21,2020-12-08,12
153,156044,27564.16,14.05,2024-02-04,12
154,167214,16109.03,15.22,2022-07-14,36
155,133827,23109.72,16.05,2021-05-11,48
156,155820,16235.48,13.69,2024-11-21,60
157,162623,28001.72,18.7,2024-10-26,6
158,181734,14373.85,7.87,2024-04-21,6
159,175450,22853.19,9.3,2024-03-18,36
160,193426,21886.75,9.13,2022-12-25,12
161,122299,31187.39,10.67,2024-03-23,60
162,143585,1694.13,12.05,2021-12-02,60
163,164044,30338.81,16.8,2020-11-11,6
164,142557,30062.58,6.62,2023-05-05,48
165,149080,20222.13,7.04,2022-12-03,36
166,102693,13098.07,17.17,2021-08-06,6
167,195003,42123.32,8.14,2020-01-22,48
168,195259,17894.39,6.89,2021-08-03,12
169,169163,16274.74,11.99,2020-02-05,6
170,125939,23695.18,19.8,2022-08-19,12
171,148925,14621.5,18.69,2023-10-21,36
